OrderID;RequiredDate;ShippedDate;Freight;ShipName;ShipCountry;OrderStatus
10248;1996-08-01T00:00:00Z;1996-07-16T00:00:00Z;32.38;Vins et alcools Chevalier;França;Finalizado
10249;1996-08-16T00:00:00Z;1996-07-10T00:00:00Z;11.61;Toms Spezialitäten;Alemanha;Em trânsito
10250;1996-08-05T00:00:00Z;1996-07-12T00:00:00Z;65.83;Hanari Carnes;Brasil;Finalizado
10251;1996-08-05T00:00:00Z;1996-07-15T00:00:00Z;41.34;Victuailles en stock;França;Finalizado
10252;1996-08-06T00:00:00Z;1996-07-11T00:00:00Z;51.3;Suprêmes délices;Belgica;Cancelado
10253;1996-07-24T00:00:00Z;1996-07-16T00:00:00Z;58.17;Hanari Carnes;Brasil;Aprovação pendente
10254;1996-08-08T00:00:00Z;1996-07-23T00:00:00Z;22.98;Chop-suey Chinese;Suiça;Cancelado
10255;1996-08-09T00:00:00Z;1996-07-15T00:00:00Z;148.33;Richter Supermarkt;Suiça;Em trânsito
10256;1996-08-12T00:00:00Z;1996-07-17T00:00:00Z;13.97;Wellington Importadora;Brasil;Em trânsito
10257;1996-08-13T00:00:00Z;1996-07-22T00:00:00Z;81.91;HILARION-Abastos;Venezuela;Aprovação pendente
10258;1996-08-14T00:00:00Z;1996-07-23T00:00:00Z;140.51;Ernst Handel;Austria; Finalizado
10259;1996-08-15T00:00:00Z;1996-07-25T00:00:00Z;3.25;Centro comercial Moctezuma;Mexico;Finalizado
10260;1996-08-16T00:00:00Z;1996-07-29T00:00:00Z;55.09;Ottilies Käseladen;Alemanha;Em trânsito
