OrderID;ProductID;UnitPrice;Quantity;Discount
10248;11;14;12;0
10248;42;9.8;10;0
10248;72;34.8;5;0
10249;14;18.6;9;0
10249;51;42.4;40;0
10250;41;7.7;10;0
10250;51;42.4;35;0.15
10250;65;16.8;15;0.15
10251;22;16.8;6;0.05
10251;57;15.6;15;0.05
10251;65;16.8;20;0
10252;20;64.8;40;0.05
10252;33;2;25;0.05
10252;60;27.2;40;0
10253;31;10;20;0
10253;39;14.4;42;0
10253;49;16;40;0
10254;24;3.6;15;0.15
10254;55;19.2;21;0.15
10254;74;8;21;0
10255;2;15.2;20;0
10255;16;13.9;35;0
10255;36;15.2;25;0
10255;59;44;30;0
10256;53;26.2;15;0
10256;77;10.4;12;0
10257;27;35.1;25;0
10257;39;14.4;6;0
10257;77;10.4;15;0
10258;2;15.2;50;0.2
10258;5;17;65;0.2
10258;32;25.6;6;0.2
10259;21;8;10;0
10259;37;20.8;1;0
10260;41;7.7;16;0.25
10260;57;15.6;50;0
10260;62;39.4;15;0.25
10260;70;12;21;0.25
